EmployeeID,FirstName,LastName,Email,Phone,Department,JoiningDate,Salary
9090,Monica,Davis,alexanderperez@hotmail.com,121.503.9847x2240,HR,2023-04-17,56560.5
9538,Jennifer,Cross,lclark@deleon.com,(821)759-2264,HR,2024-04-19,55493.35
3173,Tammy,Salazar,zcampbell@gmail.com,(929)404-2188x51735,HR,2024-02-21,82058.71
3733,Travis,Pruitt,garygolden@le.net,015-777-0852x348,HR,2024-10-17,82894.84
9616,Tammy,Hawkins,duffydamon@johnson.com,2615308895,Sales,2022-09-06,63281.41
3753,Kimberly,Soto,angelabaldwin@miller-hall.org,2198740978,Marketing,2021-05-05,51987.99
4536,Danielle,Pruitt,maddenmatthew@tucker-lane.com,+1-636-250-9236x87403,IT,2023-06-24,52936.39
4408,Tracy,Pope,zreeves@hotmail.com,+1-683-440-6811,Marketing,2023-09-09,86457.0
5652,Matthew,Powell,jessica40@gmail.com,553-452-1450x0179,IT,2023-10-20,94064.92
1910,Jesse,Walls,zroberts@anderson-freeman.com,+1-430-293-8172x81025,Marketing,2023-02-15,99948.12
6313,Allison,Marquez,chloesmith@davis.com,001-184-158-8544x54884,Marketing,2024-07-04,49629.99
6068,Katherine,Hoffman,douglasturner@strickland.com,001-305-274-6429x69839,Marketing,2023-01-09,112266.76
2225,Margaret,Ortega,vfletcher@gmail.com,024-561-9694x4346,Engineering,2023-07-07,73010.15
2487,Mark,Butler,timothyalvarez@smith.com,334.870.5584,Marketing,2020-10-10,45278.53
